295416901943828481	RT if you are older than 9 #bigwet #getinvolved	Not labeled	Not related	0	en	QFL	4	2	1	47	9	2
295457192436441088	#qldfloods lmao. Whoever put those things were clever as fuck. Lol. I laughed so hard all over again. http://t.co/LQC0G2Ug	Not labeled	Not related	0	en	QFL	5	3	1	122	22	1
293925403238748161	#QLD  Police: #bigwet Bruce H'Way near Mobil Service Station &amp; Butler St, Tully... http://t.co/pNxFvjoC	Caution and advice	Related and informative	1	en	QFL	12	1	0	107	18	2
297106476630155264	RT @ACPMH: Check out @beyondblue looking after yourself and your family after a disaster booklet http://t.co/zjeViQTr  #bigwet #qldflood ...	Caution and advice	Related and informative	1	en	QFL	10	2	1	140	21	2
295737736831324161	HANDY list of contacts and numbers. Have a look and write down any that you may need. http://t.co/g2j1ItC7 #bigwet #bnefloods	Caution and advice	Related and informative	1	en	QFL	7	6	1	125	23	2
295561328611958784	http://t.co/Wa22BVvy  #bigwet I hate everything of you! The reason why do I accept you?!	Not labeled	Not related	0	en	QFL	4	3	4	88	17	1
296687998337159169	RT @909SeaFM: Mayor Tom Tate to open Community Recovery Centre to help residents affected by #bigwet, at Broadbeach this morning. #news  ...	Donations and volunteering	Related and informative	1	en	QFL	15	3	0	140	21	2
295695969964658688	RT @clubwah: Will people of Queensland remember Abbott didn't want a levy to help pay for the last floods/storms.? What will he pledge i ...	Other Useful Information	Related - but not informative	1	en	QFL	9	8	2	140	26	0
295761644376694784	http://t.co/3pPq3bG1 I'm wondering if this type of works --  #SAGAwards #bigwet	Not labeled	Not related	0	en	QFL	6	3	1	79	14	2
295612754973323264	Telstra phone services cut at Rockhampton, Cairns, Gladstone, Mt Isa, Mareeba, Townsville. 000 coverage is also down in these areas #bigwet	Infrastructure and utilities	Related and informative	1	en	QFL	13	2	0	139	21	1
295704362779549696	RT @alice_r0se: So glad we went to Queensland at the start of the month and not now! Stay safe you beautiful queenslanders ? #qldfloods	Sympathy and support	Related - but not informative	1	en	QFL	8	3	2	138	23	1
295742388343828480	St Rita's College at Clayfield will operate as usual, with school already scheduled to start on Wednesday. #bigwet	Infrastructure and utilities	Related - but not informative	1	en	QFL	8	4	0	114	19	1
295854887948926976	Praying for the people in the Queensland stay safe everyone xxxx &lt;3 #qldfloods :(	Sympathy and support	Related - but not informative	1	en	QFL	7	2	0	84	14	1
296245897732444160	RT @petsarefound: LOST – Two Chickens – Seven Hills, #Brisbane #QLD http://t.co/CkeADppR via @PetsAreFound #qldfloods Pls RT	Not labeled	Not related	0	en	QFL	13	2	0	128	18	3
295751980717051904	Bless all the emergency workers,volunteers exhausted in Brisbane and QLD. I would like my power back... But I've got LOTS of books. #bigwet	Sympathy and support	Related - but not informative	1	en	QFL	10	6	2	139	25	1
295441136632332288	http://t.co/agcVoY1H Lol - He published every thing  #qldfloods	Not labeled	Not related	0	en	QFL	5	1	1	63	10	1
295552516383465472	#bigwet http://t.co/BybPZ2X8 hello this might be me audrey I love your individual music its just about all !!!!	Not labeled	Not related	0	en	QFL	3	4	2	111	20	1
295518999687606272	http://t.co/Oqw8t4qk  #bigwet Can this be for real	Not labeled	Not related	0	en	QFL	2	3	0	50	10	1
296298095862505472	@Ludacris can we plz take a minute to pray for the families affected by the floods in Australia	Sympathy and support	Related - but not informative	1	en	QFL	5	4	1	95	18	0
298311265317707776	Looking forward to joining the insurance industry meeting with Queensland Treasurer tomorrow, to explain the industry response to floods.	Not labeled	Not applicable	0	en	QFL	9	3	0	137	19	0
295661283049623555	Pygmy whales washed up in huge swells http://t.co/gt1wgSn9 @abcnews #bigwet	Other Useful Information	Related and informative	1	en	QFL	7	1	0	75	13	1
295485311054655488	#qldfloods You just need love. http://t.co/rUvGT4Jb	Not labeled	Not related	0	en	QFL	3	1	1	51	9	1
295018027815165952	Yeaa buddy #straya #sausagerolls #triplej #hottest100 #brisbane #bigwet #bbq  #australiaday #nofilter http://t.co/TWrVSIfp	Not labeled	Not related	0	en	QFL	20	1	0	122	15	9
295341916160139264	RT @abcwidebay: Sunshine Coast Airport has been closed today. All flights in and out are cancelled due to strong winds #QLD #bigwet	Infrastructure and utilities	Related and informative	1	en	QFL	11	5	0	131	22	2
295673287172829184	RT @newscomauHQ: Evacuation centres now set up in the Lockyer Valley. Mayor Jones says creek floodwaters higher than in 2011. #bigwet ht ...	Donations and volunteering	Related and informative	1	en	QFL	10	3	0	140	22	1
295874102034591744	#SuryaRay #Surya Australia floods: 'We will get through this,' says Queensland Premier - Telegraph.co.... http://t.co/dZUk1rau @suryaray	Other Useful Information	Related - but not informative	1	en	QFL	8	3	1	136	19	2
295359003763040256	RT @QPSmedia: Bundaberg North residents please evacuate immediately to Civic Centre, N Bundaberg SS or friends &amp; relatives #bigwet	Caution and advice	Related and informative	1	en	QFL	15	1	0	134	19	1
296143556727435264	Hospital patients flee rising floods: Heavy flooding in Australia caused by torrential rains has forced mass eva... http://t.co/lJhGxNLK	Affected individuals	Related and informative	1	en	QFL	7	5	0	136	21	0
295534384386285568	#bigwet http://t.co/bYPxlmjb every one of the i wanna do is in fact accept you, las Vegas Dui Attorney turning it into thus challenging?	Not labeled	Not related	0	en	QFL	7	5	3	136	26	1
295524066411036675	27/23:14 EST Flood Warning - Fitzroy River (QLD) http://t.co/Pcu4VnvJ	Caution and advice	Related and informative	1	en	QFL	7	0	0	69	13	0
